id,Rank,PerCapitaRank,Country,TotalPrize,NumPlayers,Population,PrizePerMillion,PlayersPerMillion,TopGame,TopGamePct
156,1,69,China,333125153.95,9387,1410710000,236140.07,6.65,Dota 2,26.08
417,70,70,Kyrgyzstan,1559921.28,110,7099750,219714.96,15.49,Dota 2,83.44
152,52,71,Chile,4189237.29,934,19658835,213096.93,47.51,VALORANT,22.37
442,106,72,Luxembourg,140463.9,67,666430,210770.67,100.54,Fortnite,29.14
704,22,73,Viet Nam,20062703.41,2831,98858950,202942.71,28.64,Arena of Valor,25.12
268,85,74,Georgia,679252.03,124,3715483,182816.62,33.37,PLAYERUNKNOWN’S BATTLEGROUNDS,50.75
234,130,75,Faroe Islands,9849.49,27,54414,181010.22,496.2,Counter-Strike: Global Offensive,94.38
792,26,76,Turkey,15372442.78,1736,85325965,180161.37,20.35,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,24.47
414,83,77,Kuwait,838446.88,222,4853420,172753.83,45.74,Rainbow Six Siege,23.62
380,34,78,Italy,8436692.19,1756,58984216,143033.05,29.77,Fortnite,10.57
214,75,79,Dominican Republic,1266032.01,133,11331265,111729.1,11.74,Street Fighter V,21.23
784,77,80,United Arab Emirates,1126246.92,285,10483751,107427.86,27.18,Street Fighter 6,32.42
68,79,81,Bolivia,1097798.26,72,12244159,89658.94,5.88,Dota 2,91.51
484,29,82,Mexico,11088869.33,1601,129739759,85470.09,12.34,Fortnite,20.64
360,21,83,Indonesia,21898365.11,2653,281190067,77877.45,9.43,Free Fire,23.8
31,86,84,Azerbaijan,677050.77,112,10153958,66678.51,11.03,chess24,43.61
192,84,85,Cuba,684906.19,51,11019931,62151.59,4.63,Fortnite,42.83
258,126,86,French Polynesia,16773.21,3,281118,59666.08,10.67,League of Legends,89.59
8,105,87,Albania,143647.5,69,2414095,59503.66,28.58,PLAYERUNKNOWN’S BATTLEGROUNDS,30.7
504,65,88,Morocco,2194798.76,231,37712505,58198.17,6.13,Rocket League,49.58
524,68,89,Nepal,1685473.25,171,29694614,56760.23,5.76,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,96.5
833,142,90,Isle of Man,4546.67,3,84165,54020.91,35.64,iRacing.com,61.28
876,161,91,Wallis And Futuna,600.0,1,11250,53333.33,88.89,Diabotical,100.0
116,81,92,Cambodia,899777.15,247,17423880,51640.46,14.18,Mobile Legends: Bang Bang,55.43
798,165,93,Tuvalu,500.0,1,9816,50937.25,101.87,Fortnite,100.0
418,94,94,Laos,363675.84,109,7664993,47446.34,14.22,Dota 2,77.71
634,108,95,Qatar,122571.18,63,2656032,46148.23,23.72,Fortnite,18.34
570,174,96,Niue,65.97,1,1600,41231.25,625.0,BlazBlue: Chronophantasma Extend,50.72
710,62,97,South Africa,2486049.1,884,63212384,39328.51,13.98,Counter-Strike: Global Offensive,41.07
860,74,98,Uzbekistan,1401185.35,207,35652307,39301.39,5.81,Dota 2,36.54
188,100,99,Costa Rica,200354.0,91,5105525,39242.59,17.82,League of Legends,26.72
558,99,100,Nicaragua,266466.08,13,6823613,39050.59,1.91,Dota 2,68.43
275,101,101,"Palestine, State of",191592.98,40,5165775,37088.91,7.74,League of Legends,48.87
530,138,102,Netherlands Antilles,5700.0,1,154654,36856.47,6.47,Overwatch 2,100.0
16,154,103,American Samoa,1750.0,1,47521,36825.82,21.04,Rainbow Six Siege,100.0
788,93,104,Tunisia,421259.81,119,12200431,34528.27,9.75,League of Legends,39.21
368,71,105,Iraq,1536020.96,158,45074049,34077.72,3.51,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,78.18
