id,Rank,Country,TotalPrize,NumPlayers,TopGame,TopGameEarnings,TopGamePct
60,164,Bermuda,506.0,4,Dota 2,200.0,39.53
798,165,Tuvalu,500.0,1,Fortnite,500.0,100.0
72,166,Botswana,338.49,2,VALORANT,233.33,68.93
580,167,Northern Mariana Islands,300.0,1,Quake III Arena,300.0,100.0
44,168,Bahamas,263.0,1,Yu-Gi-Oh! Duel Links,263.0,100.0
84,169,Belize,250.0,1,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,250.0,100.0
212,170,Dominica,200.0,1,Counter-Strike: Global Offensive,200.0,100.0
800,171,Uganda,149.66,2,Minecraft,100.0,66.82
850,172,"Virgin Islands, U.S.",100.0,1,Rocket League,100.0,100.0
585,173,Palau,80.0,1,Trackmania (2020),80.0,100.0
570,174,Niue,65.97,1,BlazBlue: Chronophantasma Extend,33.46,50.72
438,175,Liechtenstein,56.47,2,Call of Duty: Advanced Warfare,28.47,50.42
663,176,Saint Martin,50.0,1,Counter-Strike: Global Offensive,50.0,100.0
28,177,Antigua and Barbuda,28.42,1,Fortnite,28.42,100.0
598,178,Papua New Guinea,25.0,1,Diabotical,25.0,100.0
659,179,Saint Kitts and Nevis,20.0,1,Lichess,20.0,100.0
652,180,Saint Barthélemy,7.63,1,Tetr.io,7.63,100.0
